,data,horário,camp.,rodada,dia,local,resultado,gp,gc,oponente,xg,xga,posse,público,capitão,formação,árbitro,relatório da partida,tc,cag,dist,fk,pb,pt,temporada,time
48,2022-11-09,21:30,Série A,Rodada da semana 37,qua,Em casa,V,2,1,América (MG),2.6,0.3,57.0,,Gustavo Gómez,4-2-3-1,Savio Pereira,Relatório da Partida,25,8,187.0,2.0,1,1,2022,Palmeiras
49,2022-11-13,16:00,Série A,Rodada da semana 38,dom,Visitante,D,0,3,Internacional,1.3,1.4,52.0,,Luan Garcia,4-2-3-1,Bruno Arleu de Araujo,Relatório da Partida,11,2,146.0,1.0,0,0,2022,Palmeiras
1,2022-04-10,16:00,Série A,Rodada da semana 1,dom,Visitante,D,0,2,Atlético Mineiro,0.6,1.9,48.0,37.531,Taison,4-2-3-1,Bruno Arleu de Araujo,Relatório da Partida,6,1,183.0,0.0,0,0,2022,Internacional
3,2022-04-17,18:00,Série A,Rodada da semana 2,dom,Em casa,V,2,1,Fortaleza,1.7,0.8,52.0,31.783,Andrés D'Alessandro,4-3-3,Flavio Rodrigues De Souza,Relatório da Partida,18,5,170.0,2.0,0,0,2022,Internacional
4,2022-04-23,19:00,Série A,Rodada da semana 3,sáb,Visitante,V,1,0,Fluminense,0.8,0.5,43.0,16.176,Edenílson,4-3-3,Braulio da Silva Machado,Relatório da Partida,12,4,206.0,0.0,0,0,2022,Internacional
6,2022-05-01,19:00,Série A,Rodada da semana 4,dom,Em casa,E,0,0,Avaí,1.3,0.7,60.0,20.808,Edenílson,4-3-3,Wilton Sampaio,Relatório da Partida,23,3,178.0,1.0,0,0,2022,Internacional
8,2022-05-08,19:00,Série A,Rodada da semana 5,dom,Visitante,E,1,1,Juventude,0.7,0.8,43.0,7.341,Edenílson,4-3-3,Bruno Arleu de Araujo,Relatório da Partida,8,3,167.0,1.0,0,0,2022,Internacional
9,2022-05-14,19:00,Série A,Rodada da semana 6,sáb,Em casa,E,2,2,Corinthians,2.1,1.7,48.0,18.482,Edenílson,4-4-1-1,Braulio da Silva Machado,Relatório da Partida,13,5,144.0,2.0,0,0,2022,Internacional
11,2022-05-21,20:00,Série A,Rodada da semana 7,sáb,Visitante,E,1,1,Cuiabá,1.4,0.9,57.0,7.968,Edenílson,4-4-1-1,Ramon Abatti Abel,Relatório da Partida,13,3,158.0,0.0,1,1,2022,Internacional
13,2022-05-30,20:00,Série A,Rodada da semana 8,seg,Em casa,E,1,1,Atl Goianiense,0.7,2.1,45.0,11.05,Edenílson,4-4-1-1,Marcelo de Lima Henrique,Relatório da Partida,10,5,197.0,0.0,0,0,2022,Internacional
14,2022-06-05,19:00,Série A,Rodada da semana 9,dom,Visitante,V,2,0,Bragantino,1.5,0.6,51.0,3.062,Edenílson,4-4-1-1,Wagner do Nascimento Magalhães,Relatório da Partida,8,4,217.0,0.0,1,1,2022,Internacional
15,2022-06-08,21:30,Série A,Rodada da semana 10,qua,Visitante,E,1,1,Santos,1.0,3.9,49.0,8.845,Edenílson,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,11,6,161.0,1.0,0,0,2022,Internacional
16,2022-06-11,21:00,Série A,Rodada da semana 11,sáb,Em casa,V,3,1,Flamengo,1.9,1.2,32.0,22.392,Gabriel,4-4-1-1,Braulio da Silva Machado,Relatório da Partida,10,3,194.0,0.0,1,1,2022,Internacional
17,2022-06-15,20:30,Série A,Rodada da semana 12,qua,Visitante,V,2,1,Goiás,1.5,0.5,47.0,8.892,Edenílson,4-3-1-2,Caio Max Augusto Vieira,Relatório da Partida,16,8,185.0,0.0,0,0,2022,Internacional
18,2022-06-19,18:00,Série A,Rodada da semana 13,dom,Em casa,D,2,3,Botafogo (RJ),3.1,1.5,77.0,26.219,Edenílson,4-1-2-1-2◆,Savio Pereira,Relatório da Partida,17,6,154.0,0.0,1,1,2022,Internacional
19,2022-06-24,21:30,Série A,Rodada da semana 14,sex,Em casa,V,3,0,Coritiba,2.5,1.0,55.0,13.454,Taison,4-3-3,Jefferson Ferreira de Moraes,Relatório da Partida,15,8,159.0,0.0,0,0,2022,Internacional
21,2022-07-02,19:00,Série A,Rodada da semana 15,sáb,Visitante,E,1,1,Ceará,1.5,1.1,38.0,23.283,Taison,4-2-3-1,Rodolpho Toski Marques,Relatório da Partida,12,5,137.0,0.0,0,0,2022,Internacional
23,2022-07-11,20:00,Série A,Rodada da semana 16,seg,Em casa,V,1,0,América (MG),1.8,0.5,67.0,19.023,Taison,4-3-1-2,Flavio Rodrigues De Souza,Relatório da Partida,21,4,196.0,0.0,0,0,2022,Internacional
24,2022-07-16,16:30,Série A,Rodada da semana 17,sáb,Visitante,E,0,0,Ath Paranaense,1.6,2.4,40.0,21.402,Edenílson,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,17,3,183.0,0.0,0,0,2022,Internacional
25,2022-07-20,20:30,Série A,Rodada da semana 18,qua,Em casa,E,3,3,São Paulo,2.5,1.9,34.0,32.804,Edenílson,4-2-3-1,Marcelo de Lima Henrique,Relatório da Partida,14,6,191.0,0.0,1,1,2022,Internacional
26,2022-07-24,16:00,Série A,Rodada da semana 19,dom,Visitante,D,1,2,Palmeiras,0.7,1.3,48.0,38.658,Edenílson,4-1-2-1-2◆,Bruno Arleu de Araujo,Relatório da Partida,11,5,262.0,1.0,0,0,2022,Internacional
27,2022-07-31,16:00,Série A,Rodada da semana 20,dom,Em casa,V,3,0,Atlético Mineiro,0.8,1.9,32.0,39.451,Edenílson,4-4-2,Flavio Rodrigues De Souza,Relatório da Partida,9,3,188.0,0.0,0,0,2022,Internacional
29,2022-08-07,18:00,Série A,Rodada da semana 21,dom,Visitante,D,0,3,Fortaleza,0.7,1.8,66.0,39.523,Alan Patrick,4-2-3-1,Wagner do Nascimento Magalhães,Relatório da Partida,8,2,203.0,0.0,0,0,2022,Internacional
31,2022-08-14,19:00,Série A,Rodada da semana 22,dom,Em casa,V,3,0,Fluminense,1.6,0.3,33.0,14.824,Gabriel,4-1-4-1,Ramon Abatti Abel,Relatório da Partida,15,5,200.0,2.0,0,0,2022,Internacional
32,2022-08-22,20:00,Série A,Rodada da semana 23,seg,Visitante,V,1,0,Avaí,1.7,0.7,50.0,13.911,Gabriel,4-4-1-1,Edina Alves Batista,Relatório da Partida,13,4,180.0,0.0,1,1,2022,Internacional
33,2022-08-29,20:00,Série A,Rodada da semana 24,seg,Em casa,V,4,0,Juventude,3.2,0.2,54.0,16.518,Gabriel,4-4-1-1,Bruno Arleu de Araujo,Relatório da Partida,22,11,192.0,1.0,1,2,2022,Internacional
34,2022-09-04,16:00,Série A,Rodada da semana 25,dom,Visitante,E,2,2,Corinthians,0.8,1.9,50.0,41.423,Gabriel,4-1-2-1-2◆,Braulio da Silva Machado,Relatório da Partida,14,4,210.0,0.0,0,0,2022,Internacional
35,2022-09-10,16:30,Série A,Rodada da semana 26,sáb,Em casa,V,1,0,Cuiabá,1.5,0.0,67.0,30.719,Gabriel,4-3-3,Maguielson Lima Barbosa,Relatório da Partida,16,3,159.0,1.0,0,0,2022,Internacional
36,2022-09-19,20:00,Série A,Rodada da semana 27,seg,Visitante,V,2,1,Atl Goianiense,1.9,1.3,46.0,5.185,Edenílson,4-3-3,Edina Alves Batista,Relatório da Partida,13,4,153.0,0.0,0,0,2022,Internacional
37,2022-09-28,21:45,Série A,Rodada da semana 28,qua,Em casa,E,0,0,Bragantino,1.6,1.0,58.0,17.945,Edenílson,4-2-3-1,Wagner do Nascimento Magalhães,Relatório da Partida,12,6,155.0,0.0,0,0,2022,Internacional
38,2022-10-01,15:00,Série A,Rodada da semana 29,sáb,Em casa,V,1,0,Santos,1.0,0.3,48.0,30.858,Gabriel,4-3-3,Ramon Abatti Abel,Relatório da Partida,9,3,177.0,1.0,0,0,2022,Internacional
39,2022-10-05,21:30,Série A,Rodada da semana 30,qua,Visitante,E,0,0,Flamengo,0.8,1.4,33.0,43.71,Edenílson,4-2-3-1,Flavio Rodrigues De Souza,Relatório da Partida,16,6,210.0,1.0,0,0,2022,Internacional
40,2022-10-09,11:00,Série A,Rodada da semana 31,dom,Em casa,V,4,2,Goiás,2.5,2.0,61.0,31.554,Rodrigo Moledo,4-2-3-1,Edina Alves Batista,Relatório da Partida,20,11,158.0,0.0,0,0,2022,Internacional
41,2022-10-16,18:00,Série A,Rodada da semana 32,dom,Visitante,V,1,0,Botafogo (RJ),0.8,0.5,50.0,24.445,Alan Patrick,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,11,1,175.0,0.0,0,0,2022,Internacional
42,2022-10-23,18:00,Série A,Rodada da semana 33,dom,Visitante,E,1,1,Coritiba,1.1,0.5,64.0,,Edenílson,4-1-2-1-2◆,Wagner do Nascimento Magalhães,Relatório da Partida,11,3,222.0,1.0,0,0,2022,Internacional
43,2022-10-26,21:45,Série A,Rodada da semana 34,qua,Em casa,V,2,1,Ceará,2.2,1.5,62.0,,Edenílson,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,20,5,207.0,2.0,1,1,2022,Internacional
44,2022-11-02,16:00,Série A,Rodada da semana 35,qua,Visitante,D,0,1,América (MG),1.2,1.3,49.0,,Edenílson,4-4-1-1,Bruno Arleu de Araujo,Relatório da Partida,12,2,185.0,0.0,0,1,2022,Internacional
45,2022-11-05,21:00,Série A,Rodada da semana 36,sáb,Em casa,V,2,0,Ath Paranaense,1.3,0.7,55.0,,Renê,4-4-1-1,Flavio Rodrigues De Souza,Relatório da Partida,11,5,171.0,1.0,0,0,2022,Internacional
46,2022-11-08,21:30,Série A,Rodada da semana 37,ter,Visitante,V,1,0,São Paulo,0.7,0.6,41.0,19.692,Renê,4-2-3-1,Wagner do Nascimento Magalhães,Relatório da Partida,8,3,149.0,0.0,0,0,2022,Internacional
47,2022-11-13,16:00,Série A,Rodada da semana 38,dom,Em casa,V,3,0,Palmeiras,1.4,1.3,48.0,,Taison,4-2-3-1,Bruno Arleu de Araujo,Relatório da Partida,15,8,189.0,1.0,0,0,2022,Internacional
5,2022-04-09,16:30,Série A,Rodada da semana 1,sáb,Em casa,E,0,0,Santos,1.6,0.1,65.0,22.855,Yago,3-4-3,Anderson Daronco,Relatório da Partida,26,6,187.0,0.0,0,0,2022,Fluminense
7,2022-04-16,20:00,Série A,Rodada da semana 2,sáb,Visitante,V,1,0,Cuiabá,0.7,0.2,61.0,10.791,Fred,4-3-3,Savio Pereira,Relatório da Partida,12,3,221.0,1.0,0,0,2022,Fluminense
8,2022-04-23,19:00,Série A,Rodada da semana 3,sáb,Em casa,D,0,1,Internacional,0.5,0.8,57.0,16.176,Nino,3-4-1-2,Braulio da Silva Machado,Relatório da Partida,12,2,226.0,1.0,0,0,2022,Fluminense
10,2022-05-01,16:00,Série A,Rodada da semana 4,dom,Visitante,D,2,3,Coritiba,0.6,3.3,45.0,24.622,Nino,4-1-2-1-2◆,Raphael Claus,Relatório da Partida,7,4,199.0,0.0,0,0,2022,Fluminense
12,2022-05-08,16:00,Série A,Rodada da semana 5,dom,Visitante,E,1,1,Palmeiras,0.7,2.1,50.0,28.776,Nino,4-2-3-1,Savio Pereira,Relatório da Partida,8,2,205.0,0.0,0,0,2022,Fluminense
13,2022-05-14,21:00,Série A,Rodada da semana 6,sáb,Em casa,V,2,1,Ath Paranaense,0.7,1.4,63.0,4.722,Nino,4-1-2-1-2◆,Ramon Abatti Abel,Relatório da Partida,11,6,224.0,1.0,0,0,2022,Fluminense
15,2022-05-22,16:00,Série A,Rodada da semana 7,dom,Visitante,V,1,0,Fortaleza,1.1,1.7,37.0,37.507,Nino,4-4-1-1,Anderson Daronco,Relatório da Partida,7,3,169.0,0.0,0,0,2022,Fluminense
17,2022-05-29,18:00,Série A,Rodada da semana 8,dom,Em casa,D,1,2,Flamengo,1.6,1.0,62.0,57.919,Yago,4-4-1-1,Raphael Claus,Relatório da Partida,17,6,188.0,0.0,0,0,2022,Fluminense
18,2022-06-05,11:00,Série A,Rodada da semana 9,dom,Visitante,D,0,1,Juventude,0.3,1.1,52.0,2.573,Ganso,4-2-3-1,Jefferson Ferreira de Moraes,Relatório da Partida,6,2,198.0,1.0,0,0,2022,Fluminense
19,2022-06-08,21:30,Série A,Rodada da semana 10,qua,Em casa,V,5,3,Atlético Mineiro,1.8,0.8,43.0,16.143,Ganso,4-4-1-1,Leandro Pedro Vuaden,Relatório da Partida,13,9,189.0,2.0,0,0,2022,Fluminense
20,2022-06-11,19:00,Série A,Rodada da semana 11,sáb,Em casa,D,0,2,Atl Goianiense,1.8,1.9,47.0,27.859,Fábio,4-2-3-1,Luiz Flávio de Oliveira,Relatório da Partida,15,4,197.0,1.0,0,0,2022,Fluminense
21,2022-06-15,21:30,Série A,Rodada da semana 12,qua,Visitante,E,0,0,América (MG),1.3,1.0,78.0,2.599,Nino,4-2-3-1,Anderson Daronco,Relatório da Partida,20,3,201.0,1.0,0,0,2022,Fluminense
22,2022-06-19,19:00,Série A,Rodada da semana 13,dom,Em casa,V,2,0,Avaí,1.7,0.5,50.0,15.53,Nino,4-2-3-1,Paulo Roberto Alves Júnior,Relatório da Partida,19,3,172.0,1.0,0,0,2022,Fluminense
23,2022-06-26,16:00,Série A,Rodada da semana 14,dom,Visitante,V,1,0,Botafogo (RJ),0.8,0.7,79.0,29.791,Nino,4-2-3-1,Anderson Daronco,Relatório da Partida,11,3,176.0,0.0,0,0,2022,Fluminense
24,2022-07-02,16:30,Série A,Rodada da semana 15,sáb,Em casa,V,4,0,Corinthians,2.3,0.3,58.0,44.782,Nino,4-2-3-1,Wilton Sampaio,Relatório da Partida,15,6,165.0,1.0,0,0,2022,Fluminense
25,2022-07-09,19:00,Série A,Rodada da semana 16,sáb,Em casa,V,2,1,Ceará,1.5,1.8,59.0,63.707,Nino,4-2-3-1,Luiz Flávio de Oliveira,Relatório da Partida,18,6,171.0,0.0,0,0,2022,Fluminense
26,2022-07-17,16:00,Série A,Rodada da semana 17,dom,Visitante,E,2,2,São Paulo,1.2,0.8,62.0,47.141,Fábio,4-2-3-1,Wilton Sampaio,Relatório da Partida,15,3,225.0,2.0,0,0,2022,Fluminense
27,2022-07-20,19:00,Série A,Rodada da semana 18,qua,Visitante,V,3,2,Goiás,1.1,1.0,72.0,11.974,Nino,4-2-3-1,Paulo Roberto Alves Júnior,Relatório da Partida,17,10,172.0,0.0,0,0,2022,Fluminense
28,2022-07-24,16:00,Série A,Rodada da semana 19,dom,Em casa,V,2,1,Bragantino,2.2,0.4,61.0,9.877,Nino,4-2-2-2,André Luiz de Freitas Castro,Relatório da Partida,24,7,186.0,1.0,0,0,2022,Fluminense
29,2022-08-01,20:00,Série A,Rodada da semana 20,seg,Visitante,E,2,2,Santos,1.2,1.0,67.0,11.943,Nino,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,11,6,222.0,1.0,1,1,2022,Fluminense
30,2022-08-07,16:00,Série A,Rodada da semana 21,dom,Em casa,V,1,0,Cuiabá,0.7,0.4,65.0,46.323,Nino,4-2-3-1,Flavio Rodrigues De Souza,Relatório da Partida,11,5,198.0,1.0,0,0,2022,Fluminense
31,2022-08-14,19:00,Série A,Rodada da semana 22,dom,Visitante,D,0,3,Internacional,0.3,1.6,67.0,14.824,Nino,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,8,0,210.0,0.0,0,0,2022,Fluminense
32,2022-08-20,19:00,Série A,Rodada da semana 23,sáb,Em casa,V,5,2,Coritiba,1.6,0.5,63.0,24.029,Nino,4-2-3-1,Paulo Cesar Zanovelli da Silva,Relatório da Partida,15,6,148.0,1.0,0,0,2022,Fluminense
33,2022-08-27,19:00,Série A,Rodada da semana 24,sáb,Em casa,E,1,1,Palmeiras,1.3,0.6,61.0,45.084,Nino,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,17,3,180.0,0.0,0,0,2022,Fluminense
34,2022-09-03,19:00,Série A,Rodada da semana 25,sáb,Visitante,D,0,1,Ath Paranaense,0.8,0.6,73.0,14.037,Fábio,4-2-3-1,Flavio Rodrigues De Souza,Relatório da Partida,12,3,163.0,1.0,0,0,2022,Fluminense
35,2022-09-10,19:00,Série A,Rodada da semana 26,sáb,Em casa,V,2,1,Fortaleza,1.3,1.0,66.0,26.533,Nino,4-2-3-1,Paulo Roberto Alves Júnior,Relatório da Partida,15,6,183.0,0.0,0,0,2022,Fluminense
36,2022-09-18,16:00,Série A,Rodada da semana 27,dom,Visitante,V,2,1,Flamengo,2.0,2.6,50.0,55.17,Nino,4-2-3-1,Raphael Claus,Relatório da Partida,11,3,200.0,1.0,1,1,2022,Fluminense
37,2022-09-28,19:00,Série A,Rodada da semana 28,qua,Em casa,V,4,0,Juventude,1.3,0.3,62.0,23.396,Nino,4-2-3-1,Edina Alves Batista,Relatório da Partida,21,6,201.0,0.0,0,0,2022,Fluminense
38,2022-10-01,15:00,Série A,Rodada da semana 29,sáb,Visitante,D,0,2,Atlético Mineiro,0.3,1.7,70.0,20.858,Felipe Melo,4-2-3-1,Luiz Flávio de Oliveira,Relatório da Partida,5,2,223.0,1.0,0,0,2022,Fluminense
39,2022-10-05,19:00,Série A,Rodada da semana 30,qua,Visitante,D,2,3,Atl Goianiense,2.2,2.4,59.0,6.075,Nino,4-2-3-1,Anderson Daronco,Relatório da Partida,12,4,173.0,0.0,1,1,2022,Fluminense
40,2022-10-09,18:00,Série A,Rodada da semana 31,dom,Em casa,D,0,2,América (MG),1.0,1.7,62.0,23.324,Nino,4-2-3-1,Leandro Pedro Vuaden,Relatório da Partida,22,10,215.0,0.0,0,0,2022,Fluminense
41,2022-10-16,19:00,Série A,Rodada da semana 32,dom,Visitante,V,3,0,Avaí,2.5,0.9,58.0,79.0,Ganso,4-2-2-2,Anderson Daronco,Relatório da Partida,17,7,180.0,0.0,0,0,2022,Fluminense
42,2022-10-23,16:00,Série A,Rodada da semana 33,dom,Em casa,E,2,2,Botafogo (RJ),2.2,0.7,65.0,,Nino,4-2-2-2,Ramon Abatti Abel,Relatório da Partida,17,6,183.0,1.0,1,1,2022,Fluminense
43,2022-10-26,21:45,Série A,Rodada da semana 34,qua,Visitante,V,2,0,Corinthians,1.4,0.7,52.0,37.92,Nino,4-2-2-2,Leandro Pedro Vuaden,Relatório da Partida,15,6,194.0,0.0,0,0,2022,Fluminense
44,2022-10-31,20:00,Série A,Rodada da semana 35,seg,Visitante,V,1,0,Ceará,2.0,0.5,70.0,,Nino,4-2-2-2,Raphael Claus,Relatório da Partida,17,5,160.0,0.0,0,0,2022,Fluminense
45,2022-11-05,16:30,Série A,Rodada da semana 36,sáb,Em casa,V,3,1,São Paulo,1.7,0.5,65.0,,Nino,4-2-2-2,Anderson Daronco,Relatório da Partida,18,8,197.0,0.0,0,0,2022,Fluminense
46,2022-11-09,19:00,Série A,Rodada da semana 37,qua,Em casa,V,3,0,Goiás,2.0,0.5,76.0,,Nino,4-2-2-2,Paulo Cesar Zanovelli da Silva,Relatório da Partida,23,9,169.0,1.0,0,0,2022,Fluminense
47,2022-11-13,16:00,Série A,Rodada da semana 38,dom,Visitante,V,1,0,Bragantino,0.6,0.9,58.0,,Nino,4-2-3-1,Bruno Arleu de Araujo,Relatório da Partida,8,4,240.0,1.0,0,0,2022,Fluminense
1,2022-04-10,16:00,Série A,Rodada da semana 1,dom,Visitante,V,3,1,Botafogo (RJ),2.1,1.5,44.0,36.898,Cássio,4-3-3,Wilton Sampaio,Relatório da Partida,15,8,156.0,0.0,0,0,2022,Corinthians
3,2022-04-16,19:00,Série A,Rodada da semana 2,sáb,Em casa,V,3,0,Avaí,1.5,1.4,54.0,30.497,Cássio,4-2-3-1,Bruno Arleu de Araujo,Relatório da Partida,14,4,165.0,0.0,0,0,2022,Corinthians
4,2022-04-23,19:00,Série A,Rodada da semana 3,sáb,Visitante,D,0,3,Palmeiras,0.2,1.5,56.0,23.973,Paulinho,4-3-3,Anderson Daronco,Relatório da Partida,7,1,283.0,2.0,0,0,2022,Corinthians
6,2022-05-01,16:00,Série A,Rodada da semana 4,dom,Em casa,V,1,0,Fortaleza,0.6,0.9,55.0,37.018,Cássio,4-3-3,Savio Pereira,Relatório da Partida,6,3,134.0,1.0,0,0,2022,Corinthians
8,2022-05-08,18:00,Série A,Rodada da semana 5,dom,Visitante,V,1,0,Bragantino,0.2,0.5,42.0,9.993,Cássio,4-2-3-1,Raphael Claus,Relatório da Partida,4,1,196.0,0.0,0,0,2022,Corinthians
9,2022-05-14,19:00,Série A,Rodada da semana 6,sáb,Visitante,E,2,2,Internacional,1.7,2.1,52.0,18.482,Cássio,4-3-1-2,Braulio da Silva Machado,Relatório da Partida,15,9,158.0,0.0,0,0,2022,Corinthians
11,2022-05-22,16:00,Série A,Rodada da semana 7,dom,Em casa,E,1,1,São Paulo,0.6,1.1,55.0,44.672,Cássio,3-4-1-2,Wilton Sampaio,Relatório da Partida,13,5,214.0,1.0,0,0,2022,Corinthians
13,2022-05-29,18:00,Série A,Rodada da semana 8,dom,Em casa,E,1,1,América (MG),0.8,1.4,62.0,34.922,Cássio,4-3-3,Anderson Daronco,Relatório da Partida,7,4,184.0,0.0,0,0,2022,Corinthians
14,2022-06-04,20:30,Série A,Rodada da semana 9,sáb,Visitante,V,1,0,Atl Goianiense,0.9,1.1,44.0,12.089,Cássio,4-2-3-1,Bruno Arleu de Araujo,Relatório da Partida,10,1,159.0,0.0,0,0,2022,Corinthians
15,2022-06-07,20:30,Série A,Rodada da semana 10,ter,Visitante,D,0,1,Cuiabá,0.6,0.8,61.0,22.129,Cássio,3-4-3,Marcelo de Lima Henrique,Relatório da Partida,11,4,167.0,1.0,0,0,2022,Corinthians
16,2022-06-11,16:30,Série A,Rodada da semana 11,sáb,Em casa,V,2,0,Juventude,1.1,0.3,57.0,34.617,Cássio,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,13,3,200.0,1.0,0,0,2022,Corinthians
17,2022-06-15,21:30,Série A,Rodada da semana 12,qua,Visitante,E,1,1,Ath Paranaense,1.3,1.6,55.0,25.965,Cássio,4-2-3-1,Leandro Pedro Vuaden,Relatório da Partida,11,6,210.0,2.0,0,0,2022,Corinthians
18,2022-06-19,16:00,Série A,Rodada da semana 13,dom,Em casa,V,1,0,Goiás,1.6,0.3,65.0,35.9,Cássio,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,16,2,194.0,1.0,1,1,2022,Corinthians
19,2022-06-25,19:00,Série A,Rodada da semana 14,sáb,Em casa,E,0,0,Santos,0.4,0.5,61.0,40.842,Cássio,4-1-4-1,Flavio Rodrigues De Souza,Relatório da Partida,9,1,255.0,1.0,0,0,2022,Corinthians
21,2022-07-02,16:30,Série A,Rodada da semana 15,sáb,Visitante,D,0,4,Fluminense,0.3,2.3,42.0,44.782,Cássio,3-4-3,Wilton Sampaio,Relatório da Partida,3,2,179.0,0.0,0,0,2022,Corinthians
23,2022-07-10,16:00,Série A,Rodada da semana 16,dom,Em casa,V,1,0,Flamengo,0.8,0.6,49.0,44.055,Cássio,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,7,2,160.0,2.0,0,0,2022,Corinthians
24,2022-07-16,21:00,Série A,Rodada da semana 17,sáb,Visitante,D,1,3,Ceará,1.3,2.2,55.0,28.683,Gil,4-2-3-1,Leandro Pedro Vuaden,Relatório da Partida,11,4,156.0,0.0,0,0,2022,Corinthians
25,2022-07-20,21:30,Série A,Rodada da semana 18,qua,Em casa,V,3,1,Coritiba,1.7,0.8,61.0,39.852,Cássio,4-2-3-1,Wagner do Nascimento Magalhães,Relatório da Partida,19,6,187.0,1.0,0,0,2022,Corinthians
26,2022-07-24,18:00,Série A,Rodada da semana 19,dom,Visitante,V,2,1,Atlético Mineiro,1.1,0.8,47.0,55.706,Fábio Santos,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,6,2,259.0,1.0,1,1,2022,Corinthians
27,2022-07-30,19:00,Série A,Rodada da semana 20,sáb,Em casa,V,1,0,Botafogo (RJ),1.4,0.6,50.0,42.632,Cássio,4-2-3-1,Jean Pierre Goncalves Lima,Relatório da Partida,16,4,160.0,0.0,0,0,2022,Corinthians
29,2022-08-06,19:00,Série A,Rodada da semana 21,sáb,Visitante,E,1,1,Avaí,1.7,1.1,58.0,12.648,Cássio,4-2-3-1,Wilton Sampaio,Relatório da Partida,14,4,152.0,1.0,0,0,2022,Corinthians
31,2022-08-13,19:00,Série A,Rodada da semana 22,sáb,Em casa,D,0,1,Palmeiras,0.4,0.4,57.0,44.966,Cássio,4-3-3,Raphael Claus,Relatório da Partida,14,4,214.0,0.0,0,0,2022,Corinthians
32,2022-08-21,18:00,Série A,Rodada da semana 23,dom,Visitante,D,0,1,Fortaleza,0.2,1.0,64.0,44.338,Cássio,4-2-3-1,Leandro Pedro Vuaden,Relatório da Partida,7,1,227.0,1.0,0,0,2022,Corinthians
33,2022-08-29,21:30,Série A,Rodada da semana 24,seg,Em casa,V,1,0,Bragantino,0.9,1.0,48.0,36.228,Cássio,4-3-3,Wilton Sampaio,Relatório da Partida,14,4,199.0,0.0,0,0,2022,Corinthians
34,2022-09-04,16:00,Série A,Rodada da semana 25,dom,Em casa,E,2,2,Internacional,1.9,0.8,50.0,41.423,Cássio,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,12,4,180.0,2.0,0,0,2022,Corinthians
35,2022-09-11,16:00,Série A,Rodada da semana 26,dom,Visitante,E,1,1,São Paulo,1.5,1.4,56.0,46.444,Cássio,4-1-4-1,Marcelo de Lima Henrique,Relatório da Partida,18,7,185.0,0.0,0,0,2022,Corinthians
36,2022-09-18,18:00,Série A,Rodada da semana 27,dom,Visitante,D,0,1,América (MG),0.7,1.2,54.0,6.416,Cássio,4-1-4-1,Bruno Arleu de Araujo,Relatório da Partida,11,3,195.0,0.0,0,0,2022,Corinthians
37,2022-09-28,19:00,Série A,Rodada da semana 28,qua,Em casa,V,2,1,Atl Goianiense,2.9,1.0,64.0,32.398,Cássio,4-2-3-1,Leandro Pedro Vuaden,Relatório da Partida,19,8,172.0,0.0,0,0,2022,Corinthians
38,2022-10-01,21:00,Série A,Rodada da semana 29,sáb,Em casa,V,2,0,Cuiabá,1.4,0.4,60.0,37.681,Cássio,4-1-4-1,Caio Max Augusto Vieira,Relatório da Partida,15,6,170.0,0.0,0,0,2022,Corinthians
39,2022-10-04,21:30,Série A,Rodada da semana 30,ter,Visitante,E,2,2,Juventude,0.8,1.2,66.0,3.159,Cássio,4-1-4-1,Wagner do Nascimento Magalhães,Relatório da Partida,12,6,180.0,0.0,0,0,2022,Corinthians
40,2022-10-08,21:00,Série A,Rodada da semana 31,sáb,Em casa,V,2,1,Ath Paranaense,1.2,1.4,51.0,38.403,Fagner,4-1-4-1,Anderson Daronco,Relatório da Partida,6,2,153.0,0.0,1,1,2022,Corinthians
41,2022-10-22,19:00,Série A,Rodada da semana 33,sáb,Visitante,V,1,0,Santos,0.4,0.8,47.0,,Cássio,4-3-3,Flavio Rodrigues De Souza,Relatório da Partida,8,2,159.0,1.0,0,0,2022,Corinthians
42,2022-10-26,21:45,Série A,Rodada da semana 34,qua,Em casa,D,0,2,Fluminense,0.7,1.4,48.0,37.92,Cássio,4-2-3-1,Leandro Pedro Vuaden,Relatório da Partida,14,5,180.0,0.0,0,0,2022,Corinthians
43,2022-10-29,19:30,Série A,Rodada da semana 32,sáb,Visitante,E,0,0,Goiás,1.2,1.3,70.0,9.497,Cássio,4-3-3,Bruno Arleu de Araujo,Relatório da Partida,21,2,185.0,1.0,0,0,2022,Corinthians
44,2022-11-02,21:30,Série A,Rodada da semana 35,qua,Visitante,V,2,1,Flamengo,0.7,0.6,48.0,,Cássio,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,7,6,172.0,0.0,0,0,2022,Corinthians
